RESULTADOS DEL ALGORITMO GENÉTICO
============================================================

Generación 001 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 029 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 030 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 031 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 032 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 033 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 034 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 035 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 036 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 037 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
Generación 038 | Fitness: 0.335781 | Cobertura: 37.25% | Potencia: 270 W | Focos: 6 | Iluminación promedio: 25.22 lux | Mínima: 0.00 lux | Máxima: 95.46 lux
