RESULTADOS DEL ALGORITMO GENÉTICO
============================================================

Generación 033 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 034 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 035 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 036 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 037 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 038 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 039 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 040 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 041 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 042 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 043 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 044 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 045 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 046 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 047 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 048 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 049 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
